origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
An exhibition titled Infinite Like Heavens – Treasures from Zhou , Qin Han and Tang Dynasties kicked off at Shanghai Fengxian Museum on July 15 and will last until September 15 .;-;7月15日，上海奉贤博物馆举办了一场名为《天下无涯——周秦汉唐珍品》的展览，展览将持续到9月15日。;-;7月15日，上海奉贤博物馆举办了一场名为“天地无量——周秦汉唐珍宝”的展览，将持续至9月15日。;-;名为“无限如天——周、秦汉、唐朝的宝藏”的展览于7月15日在上海奉贤博物馆拉开帷幕，展览将持续至9月15日。;-;1-2;1-3;2-3
When Yuan Shuo , known online as Hesenbao , was a docent at the National Museum of China , there were questions that came up , at a particular point , repeatedly from visitors .;-;袁在网上被称为何森宝，当他在中国国家博物馆做讲解员的时候，在某个特定的时刻，游客们不断地提出问题。;-;当袁硕（网名和森宝）在中国国家博物馆担任讲解员时，在某个特定的时间点，游客们反复提出了一些问题。;-;当网上被称为和森宝的袁硕是中国国家博物馆的讲解员时，在某个特定时刻，参观者反复提出一些问题。;-;1x2;1x3;2x3
Zhang and the girls trained hard , and soon , teachers and students saw great improvement in the team , which attracted more students to join .;-;张和同学们训练刻苦，很快，老师和同学们看到了队伍的巨大进步，吸引了更多的学生加入。;-;张老师和姑娘们刻苦训练，很快，老师和同学们的队伍有了很大的进步，也吸引了更多的同学加入。;-;张和女生们刻苦训练，很快，师生们看到了团队的很大进步，吸引了更多的学生加入。;-;1x2;1-3;2x3
Inaugurated in December 2016 , Suzhou Symphony Orchestra is one of China 's most dynamic and youngest symphony orchestras , composed of musicians representing 18 countries and regions from four continents .;-;苏州交响乐团成立于2016年12月，是中国最具活力、最年轻的交响乐团之一，由来自四大洲18个国家和地区的音乐家组成。;-;苏州交响乐团成立于2016年12月，是中国最具活力、最年轻的交响乐团之一，由来自四大洲18个国家和地区的音乐家组成。;-;苏州交响乐团于2016年12月成立，是中国最具活力和最年轻的交响乐团之一，由来自四大洲的18个国家和地区的音乐家组成。;-;1-2;1-3;2-3
Some of the lectures were given by the archaeologists who unearthed the exhibits that lay in the showcases of the museum .;-;一些讲座是由考古学家进行的，他们发掘了博物馆陈列柜中的展品。;-;一些讲座是由考古学家进行的，他们发掘了博物馆陈列柜中的展品。;-;一些讲座是由考古学家进行的，他们发现了博物馆陈列柜中的展品。;-;1-2;1-3;2-3
People ask questions online such as : " Why should we read ? " " Why should we study advanced mathematics ? " " Why is logic important ? " And " why are the elderly valuable to human beings ? ";-;人们在网上问这样的问题：“我们为什么要读书？”“我们为什么要学习高等数学？”“为什么逻辑很重要？”“为什么老年人对人类有价值？”;-;人们在网上提出问题，例如：“我们为什么要阅读？”“我们为什么要学习高等数学？”“为什么逻辑很重要？”以及“为什么老人对人类有价值？”;-;人们在网上问问题，例如：“我们为什么要读书？”我们为什么要学习高等数学呢？“为什么逻辑很重要？”以及“为什么老年人对人类有价值？;-;1-2;1-3;2-3
" Computer science trained me in rigorous scientific logic that draws a clear line between yes and no , " he says .;-;“计算机科学训练了我严谨的科学逻辑，在是与否之间划清界限，”他说。;-;“计算机科学训练了我严谨的科学逻辑，在是与否之间划清界限，”他说。;-;“计算机科学训练我掌握了严格的科学逻辑，在”是“和”否“之间划出一条清晰的界线，”他说。;-;1-2;1-3;2-3
Piano virtuoso Lang Lang announces collaboration with the NCPA to establish a Beijing branch of his music school , Chen Nan reports .;-;据陈楠报道，钢琴演奏家郎朗宣布与NCPA合作，成立其音乐学校北京分校。;-;据陈楠报道，钢琴演奏家郎朗宣布与国家大剧院合作，在他的音乐学院建立北京分校。;-;钢琴演奏家郎朗宣布与国家大剧院合作，在他的音乐学校建立北京分部，陈楠报道。;-;1-2;1-3;2-3
Huang only has one student , Qin Zi , and at the end of the first school year , the leaders are set to evaluate Qin to decide whether they will keep the specialty .;-;黄只有一个学生，秦，在第一学年结束时，领导将评估秦，以决定他们是否会保留专业。;-;黄只有一个学生，秦子，第一学年结束时，领导要对秦子进行评估，以决定是否保留该专业。;-;黄仁勋只有一个学生秦子，在第一学年结束时，领导们准备评估秦，以决定是否保留这个专业。;-;1-2;1x3;2x3
The production also marks the introduction of a new eastern stage aesthetics series at the grand theater .;-;这部作品也标志着大剧院引入了一个新的东方舞台美学系列。;-;这部作品也标志着大剧院引入了新的东方舞台美学系列。;-;这部作品也标志着在大剧院引入了新的东方舞台美学系列。;-;1-2;1-3;2-3
