origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
With the anticipated boom in NEV sales globally in the coming years , said Wang Jing , a research supervisor from Shanghai Chaos Investment Group , the need for power batteries － a key component of NEVs － is apparent .;-;上海混沌投资集团的研究主管王表示，随着未来几年全球新能源汽车销售的预期繁荣，对动力电池（新能源汽车的关键部件）的需求显而易见。;-;上海混沌投资集团研究主管王静表示，随着未来几年全球新能源汽车销量的预期增长，对新能源汽车关键部件动力电池的需求显而易见。;-;上海混沌投资集团的研究主管王静表示，随着未来几年全球新能源汽车销量的激增，对动力电池（新能源汽车的关键组件）的需求是显而易见的。;-;1-2;1-3;2-3
Customs data showed China 's exports of solar components to Europe during the first quarter rose to 16.7 GW , 145 percent higher compared with the same period of 2021 with 6.8 GW .;-;海关数据显示，中国第一季度对欧洲的太阳能组件出口增长至16.7GW，比2021同期的6.8GW增长145%。;-;海关数据显示，第一季度中国对欧洲的太阳能组件出口增至16.7吉瓦，与2021年同期的6.8吉瓦相比增长了145%。;-;海关数据显示，中国第一季度对欧洲的太阳能组件出口升至16.7吉瓦，较2021年同期的6.8吉瓦高出145%。;-;1-2;1-3;2-3
Should a recession arrive , inflation could ease without requiring much further intervention from the central bank .;-;如果经济衰退到来，通货膨胀可能会缓解，而无需央行进一步干预。;-;如果经济衰退到来，通胀可以在不需要央行进一步干预的情况下缓解。;-;如果经济衰退到来，通胀可能会缓解，而不需要央行的进一步干预。;-;1-2;1-3;2-3
Overall , the growth in employers ' compensation costs moderated slightly in the second quarter , coming in at 1 .;-;总体而言，第二季度雇主薪酬成本的增长略有放缓，为1。;-;总体而言，雇主薪酬成本的增长在第二季度略有放缓，为1。;-;总体而言，雇主薪酬成本的增长在第二季度略有放缓，为1。;-;1-2;1-3;2-3
Europe has already managed to whittle down Russia 's share of its gas supply from 40 % last year to just 20 % in June , according to economics think tank Bruegel .;-;据经济智囊团Bruegel称，欧洲已经设法将俄罗斯在其天然气供应中的份额从去年的40%降至6月份的20%。;-;据经济智库Bruegel称，欧洲已经设法将俄罗斯在其天然气供应中的份额从去年的40%降至6月的20%。;-;根据经济智库Bruegel的数据，欧洲已经设法将俄罗斯在天然气供应中的份额从去年的40%降至6月份的20%。;-;1-2;1-3;2-3
The company cut deliveries again to just 20 % of the pipeline 's capacity last week , citing maintenance work .;-;上周，该公司以维护工作为由，再次将输送量削减至管道容量的20%。;-;上周，该公司以维护工作为由，再次将交付量削减至仅占管道容量的20%。;-;该公司上周再次将交付量削减到管道容量的20%，理由是维护工作。;-;1x2;1x3;2-3
" We saw how software was created at these global companies , and we saw API was a key problem , " Asthana told CNN Business .;-;“我们看到了软件是如何在这些全球性公司创建的，我们看到API是一个关键问题，”Asthana告诉CNNBusiness。;-;“我们看到了这些全球公司是如何创建软件的，我们看到API是一个关键问题，”Asthana告诉CNNBusiness。;-;“我们看到了这些全球公司如何创建软件，我们看到API是一个关键问题，”Asthana告诉CNNBusiness。;-;1-2;1-3;2-3
Nobody was sure how long a vaccine would take to develop , let alone whether it would even work .;-;没有人知道疫苗开发需要多长时间，更不用说它是否会起作用了。;-;没有人确定疫苗需要多长时间才能开发出来，更不用说它是否会起作用。;-;没有人确定疫苗需要多长时间才能开发出来，更不用说它是否有效了。;-;1x2;1x3;2-3
If customers are buying fewer products , companies wo n't place new orders , which will weigh on factory output .;-;如果客户购买的产品减少，公司将不会下新订单，这将影响工厂产量。;-;如果客户购买的产品减少，公司将不会下新订单，这将影响工厂产量。;-;如果客户购买的产品较少，公司将不会下新订单，这将对工厂产量造成压力。;-;1-2;1-3;2-3
However , over the course of the year ending in June , total compensation costs jumped 5 .;-;然而，在截至6月份的一年中，总薪酬成本上涨了5%。;-;然而，在截至6月的一年中，总补偿成本增加了5倍。;-;然而，在截至6月的一年中，总薪酬成本跃升了5。;-;1x2;1x3;2x3
