origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
Because of this , the CDC says , there 's no reason to think that more treatment is needed .;-;因此，CDC说，没有理由认为需要更多的治疗。;-;因此，疾病预防控制中心说，没有理由认为需要更多的治疗。;-;因此，疾病预防控制中心说，没有理由认为需要更多的治疗。;-;1-2;1-3;2-3
There are 300,000 doses that were being held by the manufacturer that are currently on the way .;-;制造商持有的30万剂目前正在进行中。;-;制造商目前正在持有300,000剂疫苗。;-;制造商目前持有300，000剂疫苗，目前正在进行中。;-;1x2;1x3;2x3
One of the major public clinics offering the vaccine there had to shut down Tuesday when it ran out after vaccinating 600 people .;-;当地一家提供疫苗的主要公共诊所在为600人接种疫苗后于周二关闭。;-;那里提供疫苗的主要公共诊所之一在为600人接种疫苗后于周二用完后不得不关闭。;-;提供疫苗的主要公共诊所之一周二不得不关闭，因为它在为600人接种疫苗后用完了。;-;1-2;1-3;2-3
When focusing on the possibility of rejection , one may deprive oneself of close friendships and enjoyable experiences , she added .;-;当关注被拒绝的可能性时，一个人可能会剥夺自己亲密的友谊和愉快的经历，她补充道。;-;她补充说，当关注被拒绝的可能性时，一个人可能会剥夺自己的亲密友谊和愉快的经历。;-;她补充说，当专注于被拒绝的可能性时，一个人可能会剥夺自己亲密的友谊和愉快的经历。;-;1-2;1-3;2-3
Half of them have come from just two families , leading the researchers to conclude that such cases are not all that rare .;-;其中一半来自两个家庭，这使得研究人员得出结论，此类病例并不罕见。;-;其中一半仅来自两个家庭，这使研究人员得出结论，此类病例并不少见。;-;其中一半来自两个家庭，导致研究人员得出结论，这种情况并不罕见。;-;1-2;1x3;2x3
Vaccination should occur within two weeks of a possible exposure , And the sooner you can get vaccinated after the exposure , the better . ";-;疫苗接种应在可能接触后的两周内进行，接触后越早接种越好。”;-;疫苗接种应在可能接触后的两周内进行，接触后越早接种越好。”;-;疫苗接种应在可能暴露后的两周内进行，暴露后越早接种疫苗越好。;-;1-2;1x3;2x3
While federal officials weigh a nationwide public health emergency declaration around the monkeypox outbreak , San Francisco and New York state began sounding the alarm Thursday .;-;就在联邦官员就猴痘疫情发表全国公共卫生紧急声明时，旧金山和纽约州周四开始敲响警钟。;-;当联邦官员权衡围绕猴痘爆发的全国公共卫生紧急声明时，旧金山和纽约州周四开始拉响警报。;-;虽然联邦官员权衡了围绕猴痘爆发的全国性公共卫生紧急声明，但旧金山和纽约州周四开始敲响警钟。;-;1-2;1-3;2-3
Younger generations have become conditioned to communication that does n't happen in real time , she said .;-;她说，年轻一代已经习惯于非实时的交流。;-;她说，年轻一代已经习惯于不实时发生的交流。;-;她说，年轻一代已经习惯于不实时发生的沟通。;-;1x2;1x3;2-3
" It indicates that you can transmit during rebound even before you develop symptoms , " Charness said .;-;查内斯说：“这表明你甚至在出现症状之前就可以在反弹期间传播。”。;-;“这表明你甚至在出现症状之前就可以在反弹期间传播，”查内斯说。;-;“这表明，即使在出现症状之前，您也可以在反弹期间传播，”Charness说。;-;1-2;1-3;2-3
Symptoms of melioidosis depend on where someone is infected but may include fever , pain or swelling , ulcers , coughing , chest pain , trouble breathing , weight loss , muscle or joint pain , disorientation , headache and seizures .;-;类鼻疽的症状取决于感染者的位置，但可能包括发热、疼痛或肿胀、溃疡、咳嗽、胸痛、呼吸困难、体重减轻、肌肉或关节疼痛、定向障碍、头痛和癫痫发作。;-;类鼻疽的症状取决于感染的部位，但可能包括发烧、疼痛或肿胀、溃疡、咳嗽、胸痛、呼吸困难、体重减轻、肌肉或关节疼痛、定向障碍、头痛和癫痫发作。;-;类鼻痣的症状取决于感染者的位置，但可能包括发烧，疼痛或肿胀，溃疡，咳嗽，胸痛，呼吸困难，体重减轻，肌肉或关节疼痛，定向障碍，头痛和癫痫发作。;-;1-2;1-3;2-3
