origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
On the " successful " bilateral cooperation in the fight against terrorism in Syria , the Iranian president said such collaborations " prepare the ground for improving regional security and stability . ";-;关于叙利亚反恐斗争中“成功”的双边合作，伊朗总统说，这种合作“为改善地区安全与稳定奠定了基础”;-;关于在叙利亚打击恐怖主义方面的“成功”双边合作，伊朗总统表示，这种合作“为改善地区安全与稳定奠定了基础”。;-;关于叙利亚反恐斗争中“成功”的双边合作，伊朗总统表示，这种合作“为改善地区安全与稳定奠定了基础”。;-;1-2;1-3;2-3
In Merauke , an Indonesian town with a population of 130,000 , the only store selling traditional Chinese medicine , or TCM , also takes online orders for a range of other Chinese medicinal products .;-;在印尼人口13万的小镇默劳克，唯一一家销售中药的商店也接受一系列其他中药产品的在线订单。;-;在拥有130,000人口的印度尼西亚小镇Merauke，唯一一家销售中药或TCM的商店也接受一系列其他中药产品的在线订单。;-;在拥有13万人口的印尼小镇马劳克，唯一一家销售中药的商店也接受一系列其他中药产品的在线订单。;-;1-2;1-3;2-3
BRICS countries , an important force for promoting multilateralism , have reaffirmed the belief that effective and representative multilateralism is essential for building resilience against current and future global challenges .;-;金砖国家是促进多边主义的重要力量，它们重申，有效和具有代表性的多边主义对于增强应对当前和未来全球挑战的能力至关重要。;-;金砖国家作为推动多边主义的重要力量，重申了有效和具有代表性的多边主义对于增强抵御当前和未来全球挑战的能力至关重要。;-;金砖国家是推动多边主义的重要力量，它们重申了有效和具有代表性的多边主义对于建立抵御当前和未来全球挑战的韧性至关重要的信念。;-;1-2;1-3;2-3
He said the GDI creates good opportunities for countries to engage with each other , especially the interactions between Africa and China against the backdrop of a turbulent international landscape .;-;他说，全球发展倡议为各国相互交往创造了良好机会，特别是在动荡的国际形势下，非洲和中国之间的互动。;-;他说，GDI为各国相互接触创造了良好的机会，特别是在动荡的国际格局背景下，非洲和中国之间的互动。;-;他说，GDI为各国相互接触创造了良好的机会，特别是在动荡的国际形势下，非洲和中国之间的互动。;-;1-2;1-3;2-3
On June 29 , Ukraine cut relations with Syria after Damascus recognized the independence of the eastern regions of Luhansk and Donetsk .;-;6月29日，在大马士革承认卢汉斯克和顿涅茨克东部地区独立后，乌克兰与叙利亚断绝了关系。;-;6月29日，在大马士革承认卢甘斯克和顿涅茨克东部地区独立后，乌克兰与叙利亚断绝关系。;-;6月29日，在大马士革承认卢甘斯克和顿涅茨克东部地区独立后，乌克兰切断了与叙利亚的关系。;-;1-2;1-3;2-3
Judicial bodies from China and the Association of Southeast Asian Nations have agreed to enhance cooperation on intellectual property rights to promote international IP protection .;-;中国和东南亚国家联盟的司法机构已同意加强在知识产权方面的合作，以促进国际知识产权保护。;-;中国和东盟司法机构已同意加强知识产权合作，促进国际知识产权保护。;-;中国和东南亚国家联盟的司法机构同意加强知识产权合作，促进国际知识产权保护。;-;1-2;1-3;2-3
They said African countries are willing to work with China to implement the initiative based on friendship and cooperation .;-;他们表示，非洲国家愿意与中国一道，在友好合作的基础上实施这一倡议。;-;他们表示，非洲国家愿与中方一道，在友好合作的基础上，落实好“一带一路”倡议。;-;他们说，非洲国家愿同中方一道，在友好合作的基础上落实这一倡议。;-;1-2;1-3;2-3
President Xi Jinping called on Thursday for young people in all countries to promote common human values and facilitate the implementation of the United Nations ' 2030 Agenda for Sustainable Development .;-;;-;习近平主席周四呼吁各国青年弘扬人类共同价值观，推动落实联合国2030年可持续发展议程。;-;习近平总统周四呼吁所有国家的年轻人促进共同的人类价值观，促进联合国2030年可持续发展议程的实施。;-;1x2;1x3;2-3
The States Newsroom reported that they were charged with " crowding , obstructing or incommoding and need to pay a $ 50 fine " .;-;据《美国新闻编辑室》报道，他们被指控“拥挤、妨碍或妨碍他人，需要支付50美元的罚款”。;-;国家新闻编辑室报道称，他们被指控“拥挤、阻碍或不便，需要支付50美元的罚款”。;-;美国新闻编辑室报道说，他们被指控“拥挤，阻碍或不拥挤，需要支付50美元的罚款”。;-;1x2;1x3;2x3
Ezzat Saad El Sayed , director of the Egyptian Council for Foreign Affairs , called China a trustworthy and sustainable partner for African countries , saying African countries welcome the GDI .;-;埃及外交事务委员会主任埃扎特·萨阿德·赛义德称中国是非洲国家值得信赖和可持续的伙伴，他说非洲国家欢迎GDI。;-;埃及外交事务委员会主任埃扎特·萨阿德·赛义德称中国是非洲国家值得信赖和可持续的伙伴，非洲国家欢迎GDI。;-;埃及外交事务委员会主任埃扎特·萨阿德·赛义德称中国是非洲国家值得信赖和可持续的合作伙伴，称非洲国家欢迎GDI。;-;1-2;1-3;2-3
Biden 's visit to the region － his first since taking office last year － included his participation in the Jeddah Security and Development summit hosted by Saudi Arabia on July 16 .;-;拜登去年上任以来首次访问该地区，包括参加7月16日由沙特阿拉伯主办的吉达安全与发展峰会。;-;拜登自去年上任以来首次访问该地区，其中包括参加了7月16日由沙特阿拉伯主办的吉达安全与发展峰会。;-;拜登自去年上任以来首次访问该地区，其中包括参加7月16日由沙特阿拉伯主办的吉达安全与发展峰会。;-;1-2;1-3;2-3
Koichi Wada , head of the Japan Tourism Agency , said on Wednesday that the nation was " still in the early days " of a tourism recovery and he " expected the number to increase from July onward " .;-;日本旅游厅厅长和田光一周三表示，日本旅游业“仍处于复苏的初期”，他“预计从7月份开始，这一数字还会增加”。;-;日本观光厅长和田浩一周三表示，日本“仍处于旅游业复苏的初期”，他“预计从7月开始，这一数字会增加”。;-;日本旅游厅厅长和田晃一周三表示，日本“仍处于旅游业复苏的早期阶段”，他“预计从7月开始，这一数字将会增加”。;-;1-2;1-3;2-3
" Families and pensioners are being hammered by relentless price hikes yet the government is nowhere to be found , " she said .;-;她说：“家庭和养老金领取者正受到物价持续上涨的打击，但政府却无处可寻。”。;-;“家庭和养老金领取者正受到无情价格上涨的打击，但政府却无处可寻，”她说。;-;“家庭和养老金领取者正受到无情价格上涨的打击，但政府却无处可寻，”她说。;-;1-2;1-3;2-3
" However , rural and agricultural economic development face challenges , such as the increasing threat of natural disasters , " he said .;-;“然而，农村和农业经济发展面临挑战，例如自然灾害的威胁日益严重，”他说。;-;“然而，农村和农业经济发展面临挑战，例如自然灾害的威胁越来越大，”他说。;-;“然而，农村和农业经济发展面临挑战，例如自然灾害的威胁越来越大，”他说。;-;1-2;1-3;2-3
" I do n't see anything behind this right now other than , you know , election year politics , " said Republican Senator John Thune of South Dakota .;-;南达科他州共和党参议员约翰·图恩表示：“除了选举年的政治，我现在看不到这背后的任何东西。”。;-;南达科他州共和党参议员约翰·图恩说：“除了选举年的政治，我现在看不到这背后的任何东西。”;-;“除了选举年的政治之外，我现在没有看到这背后有什么，”南达科他州的共和党参议员约翰图恩说。;-;1-2;1-3;2-3
" The administration will further strengthen the first line of defense in disaster prevention and mitigation , thus giving people a stronger sense of security and happiness , " he said .;-;他说：“政府将进一步加强防灾减灾的第一道防线，从而给人们更强烈的安全感和幸福感。”。;-;他说：“政府将进一步加强防灾减灾的第一道防线，增强人民群众的安全感和幸福感。”;-;“政府将进一步加强防灾减灾的第一道防线，从而给人们带来更强的安全感和幸福感，”他说。;-;1x2;1-3;2x3
What makes the two solutions especially important for China is that coal remains dominant in the country 's energy mix , he stressed .;-;他强调，这两种解决方案对中国特别重要的原因是，煤炭在中国的能源结构中仍然占主导地位。;-;他强调，这两种解决方案对中国特别重要的原因在于煤炭在该国的能源结构中仍然占主导地位。;-;他强调，这两种解决方案对中国特别重要的是，煤炭在中国的能源结构中仍然占主导地位。;-;1-2;1-3;2-3
Around 2,000 youth representatives from more than 100 countries attended the forum 's opening ceremony , which was held online and offline in several cities , including Beijing , Shanghai , Guangzhou and Nanjing .;-;来自100多个国家的约2000名青年代表出席了论坛的开幕式，开幕式在北京、上海、广州和南京等多个城市举行。;-;来自100多个国家的约2000名青年代表出席了论坛开幕式，论坛在北京、上海、广州、南京等多个城市线上线下举行。;-;来自100多个国家的约2，000名青年代表参加了论坛的开幕式，该仪式在北京，上海，广州和南京等多个城市在线和离线举行。;-;1-2;1-3;2-3
Deng also noted consistent endeavors from the administration to bolster the construction of a national early warning system for emergency situations .;-;邓还指出，政府一直在努力支持国家紧急情况预警系统的建设。;-;邓小平还指出，政府一直在努力加强国家紧急情况预警系统的建设。;-;邓小平还注意到，政府一直在努力加强国家紧急情况预警系统的建设。;-;1-2;1-3;2-3
Almost every morning , Yang Jianhua gets up early to patrol the tea plantations on Xishan , an island surrounded by the sparkling waters of Taihu Lake in Suzhou , Jiangsu province .;-;几乎每天早上，杨建华都会早起巡视西山的茶园。西山是江苏省苏州市一座被太湖波光粼粼的湖水环绕的岛屿。;-;几乎每天早上，杨建华都会早早起床，在江苏省苏州市的西山岛上巡视茶园。西山是一个被波光粼粼的太湖湖水环绕的岛屿。;-;几乎每天早上，杨建华都会早早起床，在西山的茶园巡逻，西山是一座被江苏省苏州太湖波光粼粼的海水包围的岛屿。;-;1-2;1-3;2-3
The energy intensity in the country decreased 28.7 percent from 2011 to 2020 , one of the fastest reductions in the world , it noted .;-;报告指出，2011年至2020年，中国的能源强度下降了28.7%，是世界上下降最快的国家之一。;-;报告指出，从2011年到2020年，该国的能源强度下降了28.7%，是世界上下降速度最快的国家之一。;-;它指出，从2011年到2020年，该国的能源强度下降了28.7%，是世界上下降最快的国家之一。;-;1x2;1x3;2-3
The leaders also urged the AU Commission and the Africa CDC to put a continental mechanism in place to coordinate the establishment of the centers across the continent .;-;领导人还敦促非盟委员会和非洲疾病预防控制中心建立一个大陆机制，以协调在整个大陆建立中心。;-;领导人还敦促非盟委员会和非洲疾病预防控制中心建立一个大陆机制，以协调在整个大陆建立中心。;-;领导人还敦促非盟委员会和非洲疾病预防控制中心建立一个大陆机制，以协调整个非洲大陆中心的建立。;-;1-2;1-3;2-3
In addition to demanding higher efficiency , the ministry has asked local authorities to strictly ensure environmental safety in examining and approving assessment documents , and to ramp up supervision over related projects .;-;除了要求提高效率外，环保部还要求地方政府在审批评估文件时严格确保环境安全，并加大对相关项目的监督力度。;-;除了要求提高效率外，环保部还要求地方部门在审批评估文件时严格确保环境安全，并加强对相关项目的监管。;-;除了要求提高效率外，该部还要求地方当局在审查和批准评估文件时严格确保环境安全，并加强对相关项目的监管。;-;1-2;1-3;2-3
With the current monetary policy staying prudent , China 's latest benchmark lending rates unveiled on Wednesday have remained unchanged .;-;在当前货币政策保持稳健的情况下，中国周三公布的最新基准贷款利率保持不变。;-;在当前货币政策保持稳健的情况下，中国周三公布的最新贷款基准利率保持不变。;-;由于目前的货币政策保持谨慎，中国周三公布的最新基准贷款利率保持不变。;-;1-2;1-3;2-3
" I would have to say two things stick out as the most memorable : the helicopter ride and talking with the staff at the hotel about how they organize weddings here in China , " he said .;-;他说：“我不得不说，最难忘的是两件事：乘坐直升机和与酒店员工谈论他们如何在中国组织婚礼。”。;-;“我不得不说最令人难忘的两件事：乘坐直升机和与酒店工作人员讨论他们如何在中国举办婚礼，”他说。;-;“我不得不说，最令人难忘的两件事：乘坐直升机，并与酒店的工作人员谈论他们如何在中国组织婚礼，”他说。;-;1-2;1-3;2-3
