origin;-;baidu;-;google;-;bing;-;1x2;1x3;2x3
It was only when she started to have injuries that Okoro began to question the way she was being coached .;-;只有当她开始受伤时，奥科罗才开始质疑她的教练方式。;-;直到她开始受伤时，奥科罗才开始质疑她的教练方式。;-;直到她开始受伤，Okoro才开始质疑她被训练的方式。;-;1x2;1x3;2x3
" A lot of times she 's very subtle about it , but obviously at the Olympics she was n't subtle at all , " Huffman tells CNN Sport .;-;哈夫曼告诉美国有线电视新闻网体育频道，“很多时候，她对此非常谨慎，但很明显，在奥运会上，她一点也不谨慎。”。;-;“很多时候她对此非常微妙，但显然在奥运会上她一点也不微妙，”霍夫曼告诉美国有线电视新闻网体育频道。;-;“很多时候她对此非常微妙，但显然在奥运会上她一点也不微妙，”霍夫曼告诉CNN体育。;-;1x2;1x3;2x3
Louis , told CNN that race plays a significant part in whether or how violence and abuse is reported by the media .;-;路易斯告诉美国有线电视新闻网，种族在媒体是否或如何报道暴力和虐待方面起着重要作用。;-;路易斯告诉美国有线电视新闻网，种族在媒体是否或如何报道暴力和虐待方面起着重要作用。;-;路易斯告诉CNN，种族在媒体是否或如何报道暴力和虐待方面起着重要作用。;-;1-2;1-3;2-3
Of his decision to run 100 miles , Bates says : " I 've seen people 's journeys and then I thought they were really cool and interesting , and it seemed different than other races .;-;关于他决定跑100英里，贝茨说：“我看过人们的旅程，然后我觉得他们真的很酷，很有趣，这似乎与其他比赛不同。;-;关于他跑100英里的决定，贝茨说：“我看过人们的旅程，然后我觉得他们真的很酷很有趣，而且这似乎与其他比赛不同。;-;关于他跑100英里的决定，贝茨说：“我看过人们的旅程，然后我觉得他们真的很酷和有趣，这似乎与其他比赛不同。;-;1-2;1-3;2-3
One of those who holds that belief is New Zealander Simon Latimer , a former diver and judge and now a member of FINA 's Diving Technical Committee .;-;新西兰人西蒙·拉蒂默就是持这种观点的人之一，他曾是跳水运动员和法官，现在是国际泳联跳水技术委员会的成员。;-;持有这种信念的人之一是新西兰人西蒙·拉蒂默，他曾是一名潜水员和裁判，现在是国际泳联潜水技术委员会的成员。;-;持有这种信念的人之一是新西兰人西蒙·拉蒂默，他曾是一名潜水员和法官，现在是国际泳联潜水技术委员会的成员。;-;1x2;1x3;2x3
Jotischky said that , since becoming the first gymnast to win her legal case against British Gymnastics , she has been overwhelmed by the number of gymnasts who have contacted her to share their experiences .;-;Jotischky说，自从她成为第一个赢得对英国体操法律诉讼的体操运动员以来，她被联系她分享经验的体操运动员的数量所淹没。;-;Jotischky说，自从成为第一个赢得与英国体操队官司的体操运动员以来，与她联系分享经验的体操运动员的数量让她不知所措。;-;Jotischky说，自从成为第一位赢得对英国体操的法律诉讼的体操运动员以来，她一直被与她联系以分享经验的体操运动员的数量所淹没。;-;1x2;1x3;2x3
" Once you start improving your symptoms of anxiety or depression , it can physically give you benefits as well .;-;“一旦你开始改善焦虑或抑郁的症状，它也能给你带来身体上的好处。;-;“一旦你开始改善你的焦虑或抑郁症状，它也会给你带来身体上的好处。;-;“一旦你开始改善你的焦虑或抑郁症状，它也可以给你带来身体上的好处。;-;1-2;1-3;2-3
The ancient sport is naturally aggressive and competitive , but experts say it 's a combat sport borne out of a practice to promoteinnerstrength throughouterstrength .;-;这项古老的运动天生具有侵略性和竞争性，但专家们说，这是一项格斗运动，源于通过力量提升力量的实践。;-;这项古老的运动天生具有侵略性和竞争性，但专家表示，它是一项格斗运动，源于一种提高内在力量和整体力量的练习。;-;这项古老的运动天生具有侵略性和竞争力，但专家表示，这是一项战斗运动，源于一种促进整体力量的实践。;-;1x2;1x3;2x3
According to the official version of events , Afkari killed Hassan Torkman , a water company security employee , during a protest in Shiraz on August 2 , 2018 .;-;根据事件的官方版本，2018年8月2日，阿夫卡里在设拉子的一次抗议中杀害了水务公司安保员工哈桑·托克曼。;-;根据事件的官方版本，Afkari于2018年8月2日在设拉子的一次抗议活动中杀死了自来水公司安全员工HassanTorkman。;-;根据事件的官方版本，Afkari于2018年8月2日在设拉子的抗议活动中杀害了水务公司保安人员HassanTorkman。;-;1-2;1-3;2-3
Frimpong , the Olympian from Ghana , told CNN that people do n't necessarily see the lack of diversity in winter sports as illogical because many countries get little to no snow .;-;来自加纳的奥运选手弗林蓬告诉美国有线电视新闻网，人们并不一定认为冬季运动缺乏多样性是不合逻辑的，因为许多国家几乎没有雪。;-;来自加纳的奥运选手弗林蓬告诉美国有线电视新闻网，人们不一定认为冬季运动缺乏多样性是不合逻辑的，因为许多国家几乎没有下雪。;-;来自加纳的奥运选手Frimpong告诉CNN，人们并不一定认为冬季运动缺乏多样性是不合逻辑的，因为许多国家几乎没有雪。;-;1-2;1-3;2-3
I mean , that 's no contribution to make to society , " Ashe says in an interview in the documentary .;-;我的意思是，这对社会没有任何贡献，”阿什在纪录片的采访中说。;-;我的意思是，这对社会没有任何贡献，”阿什在纪录片的采访中说。;-;我的意思是，这对社会没有任何贡献，“阿什在纪录片的一次采访中说。;-;1-2;1-3;2-3
If she feels strongly about recognizing her Nigerian heritage , Okoro is equally passionate about taking pride in her body shape .;-;如果说奥科罗对自己的尼日利亚传统有着强烈的认同感，那么她同样对自己的身材感到自豪。;-;如果她对承认自己的尼日利亚血统感到强烈，那么奥科罗同样热衷于为自己的体型感到自豪。;-;如果她强烈地想要承认自己的尼日利亚血统，那么Okoro同样热衷于为她的体型感到自豪。;-;1x2;1x3;2-3
" There 's been a huge push to show the strength and the ability of women within cycling .;-;“在自行车运动中，人们大力宣传女性的力量和能力。;-;“在自行车运动中展示女性的力量和能力得到了巨大的推动。;-;“在自行车运动中，人们一直在努力展示女性的力量和能力。;-;1x2;1x3;2x3
Even though she relishes the opportunity to develop her physicality and test her resilience , she says that the intense media scrutiny that comes with the job is emotionally draining .;-;尽管她很喜欢有机会锻炼自己的身体，测试自己的适应力，但她表示，这份工作伴随而来的激烈的媒体审查会让她情绪枯竭。;-;尽管她很享受锻炼身体和测试韧性的机会，但她表示，这份工作伴随着媒体的严格审查，让她情绪低落。;-;尽管她很享受这个机会来发展自己的身体素质并测试自己的韧性，但她说，这份工作带来的媒体严格审查在情感上是消耗的。;-;1x2;1x3;2x3
You 'll be ostracized from the community , so it 's not an easy thing to do , " she said .;-;你会被排斥在社区之外，所以这不是一件容易的事，”她说。;-;你会被社区排斥，所以这不是一件容易的事，”她说。;-;你会被社区排斥，所以这不是一件容易的事情，“她说。;-;1-2;1-3;2-3
Lewis Hamilton estimated he lost " around three kilos " during the French Grand Prix after a drinks bottle malfunction left him unable to rehydrate .;-;刘易斯·汉密尔顿估计，在法国大奖赛期间，由于酒瓶故障导致他无法补充水分，他瘦了“大约3公斤”。;-;刘易斯·汉密尔顿估计他在法国大奖赛期间失去了“大约三公斤”，因为饮料瓶故障导致他无法补充水分。;-;刘易斯·汉密尔顿估计，在法国大奖赛期间，由于饮料瓶故障使他无法补充水分，他损失了“大约三公斤”。;-;1x2;1x3;2x3
